"","Df","SS","MS","Rsq","F","Z","Pr(>F)","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"bio1",1,0.06,0.06,0.07,26.57,6.18,0.001,1,0.08,0.08,0.64,614.54,8.99,0.001
"bio2",1,0.02,0.02,0.02,7.84,3.78,0.001,1,0.04,0.04,0.59,506.95,8.61,0.001
"bio3",1,0.06,0.06,0.06,23.68,5.55,0.001,1,0.09,0.09,0.64,619.56,9.14,0.001
"bio4",1,0.05,0.05,0.06,20.66,4.75,0.001,1,0.09,0.09,0.65,648.81,9.01,0.001
"bio5",1,0.03,0.03,0.04,12.83,5,0.001,1,0.04,0.04,0.5,358.62,8.34,0.001
"bio6",1,0.07,0.07,0.07,28.2,6.01,0.001,1,0.1,0.1,0.68,754.46,9.42,0.001
"bio7",1,0.03,0.03,0.03,12.38,4.28,0.001,1,0.07,0.07,0.65,639.84,9.04,0.001
"bio8",1,0.03,0.03,0.04,13.88,5.22,0.001,1,0.04,0.04,0.43,269.75,7.88,0.001
"bio9",1,0.04,0.04,0.04,15.31,5.25,0.001,1,0.08,0.08,0.72,896.52,9.47,0.001
"bio10",1,0.04,0.04,0.05,16.75,6.1,0.001,1,0.06,0.06,0.56,449.12,8.44,0.001
"bio11",1,0.07,0.07,0.08,30.75,6.43,0.001,1,0.09,0.09,0.66,675.47,9.18,0.001
"bio12",1,0.05,0.05,0.06,21.64,4.7,0.001,1,0.05,0.05,0.41,244.78,7.35,0.001
"bio13",1,0.07,0.07,0.08,29.61,5.47,0.001,1,0.08,0.08,0.55,437.93,8.36,0.001
"bio14",1,0.04,0.04,0.04,16.44,5.2,0.001,1,0.09,0.09,0.77,1200.33,10.61,0.001
"bio15",1,0.07,0.07,0.08,28.56,6.44,0.001,1,0.1,0.1,0.68,734.13,9.29,0.001
"bio16",1,0.07,0.07,0.07,28.41,5.35,0.001,1,0.08,0.08,0.54,414.5,8.33,0.001
"bio17",1,0.04,0.04,0.04,15.13,5.17,0.001,1,0.08,0.08,0.76,1092.67,10.43,0.001
"bio18",1,0.03,0.03,0.04,14.16,4.49,0.001,1,0,0,0.01,3.46,1.52,0.063
"bio19",1,0.05,0.05,0.05,19.5,5.41,0.001,1,0.07,0.07,0.55,433.42,8.4,0.001
